Cash,Short,Percentile,Variance Percentage,Annual Average Return Percentage,Total Return Percentage,SPY Correlation,QQQ Correlation
S,S,SPY,1.262,38.5,91.8,1.00,0.99
Q,Q,QQQ,2.140,42.6,103.3,0.99,1.00
F,F,0,1.421,19.8,43.6,0.96,0.93
F,F,25,1.718,18.8,41.1,0.91,0.92
F,F,50,3.209,30.2,69.5,0.85,0.89
F,F,75,5.243,46.4,114.4,0.87,0.90
T,F,0,1.594,22.3,49.7,0.88,0.91
T,F,25,2.987,33.4,78.1,0.88,0.91
T,F,50,4.508,44.5,108.8,0.88,0.91
T,F,75,5.966,54.8,139.7,0.88,0.91
F,T,0,1.718,17.2,37.4,0.72,0.69
F,T,25,2.136,17.5,38.1,0.62,0.61
F,T,50,2.919,18.8,41.2,0.56,0.58
F,T,75,4.066,22.1,49.2,0.61,0.63
T,T,0,0.591,4.4,9.0,0.33,0.37
T,T,25,1.659,12.0,25.5,0.59,0.63
T,T,50,3.279,21.1,46.7,0.69,0.74
T,T,75,5.005,31.8,73.8,0.76,0.80
